Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownstreamLength,TotalReach,LocationDetailBAComments,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Los Penasquitos Mid-slough,906LPCYNM,8/5/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,906LPCYNM_42587_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.930069,-117.2468491,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Carmel Valley-Poway Creek,1.80703E+11,,906LPCYNM_42587_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Sweetwater River Mid-slough,909SWCYNM,8/5/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,909SWCYNM_42587_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.6586,-117.0818863,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Rice Canyon-Sweetwater River,1.80703E+11,,909SWCYNM_42587_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Los Penasquitos Open Lagoon,906LPCYNO,8/5/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,906LPCYNO_42587_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.934471,-117.259407,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Mission Beach-Frontal Pacific Ocean,1.80703E+11,,906LPCYNO_42587_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Los Penasquitos Creek Upstream,906LPCYNU,8/5/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,906LPCYNU_42587_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,RPD 00.0,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.936131,-117.228157,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Carmel Valley-Poway Creek,1.80703E+11,,906LPCYNU_42587_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Otay River Mid-slough,910OTCYNM,8/5/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,910OTCYNM_42587_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.588039,-117.1057434,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Telegraph Canyon-Frontal San Diego Bay,1.80703E+11,,910OTCYNM_42587_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Sweetwater River Upstream,909SWCYNU,8/5/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,909SWCYNU_42587_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.650471,-117.0639267,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Rice Canyon-Sweetwater River,1.80703E+11,,909SWCYNU_42587_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Los Penasquitos Creek Upstream,906LPCYNU,8/15/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,906LPCYNU_42597_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.936131,-117.228157,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Carmel Valley-Poway Creek,1.80703E+11,,906LPCYNU_42597_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Los Penasquitos Open Lagoon,906LPCYNO,8/15/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,906LPCYNO_42597_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.934471,-117.259407,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Mission Beach-Frontal Pacific Ocean,1.80703E+11,,906LPCYNO_42597_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Los Penasquitos Mid-slough,906LPCYNM,8/15/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,906LPCYNM_42597_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.930069,-117.2468491,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Carmel Valley-Poway Creek,1.80703E+11,,906LPCYNM_42597_ATX
Surface Water Ambient Monitoring Program,SWAMP RWB9 Monitoring,RWB9 Cyanobacteria 2016,Otay River Mid-slough,910OTCYNM,8/15/2016,12:00:00,AA1,-88,m,Integrated,1,1,160905_EPA545,910OTCYNM_42597_ATX,samplewater,"Mekebri, et al., 2009","Anatoxin-A, Dissolved",ng/g na,-0.25,,0.25,1.25,ND,SCR,"VAC,VQI",Scr,,,,"QA/DM:Screening,no QC samples,failed MQOs",WQ,SD_Cyano_QAPP_2013,RWQCB9,,PassiveSampler,32.588039,-117.1057434,Not Recorded,0000-00-00,Not Applicable,"FieldFiltered, FieldFrozen",9/5/2016 0:00,"Kudela, 2011",8/26/2016,9/5/2016,1,,UCSC-IMS,SCCWRP,NR,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,Telegraph Canyon-Frontal San Diego Bay,1.80703E+11,,910OTCYNM_42597_ATX
